Finnish;English;hungarian
litra maitoa;litre of milk;egy liter tejet
litra mansikoita;litre of strawberries;egy liter eper
kilo riisiä;a kilo of rice;egy kiló rizs
kilo perunoita;a kilo of potatoes;egy kiló krumpli
pussi sokeria;bag of sugar;zacskó cukrot
pussi herneitä;bag of peas;egy zacskó borsót
100 g suklaata;100 g chocolate;100 g csokoládé
50 g pähkinöitä;50 g nuts;50 g dió
monta tarjoilijaa / paljon tarjoilijoita;many waiters / many waitresses;sok pincér / sok pincér
paljon kahvia;lots of coffee;sok kávét
monta ikkunaa / paljon ikkunoita;many windows / many windows;sok ablak / sok ablak
paljon teetä;lots of tea;sok teát
monta pöytää ja tuolia / paljon pöytiä ja tuoleja;many tables and chairs / many tables and chairs;sok asztal és szék / sok asztal és szék
vähän sokeria ja suolaa;some sugar and salt;kevés cukrot és sót
paljon mansikoita;lots of strawberries;sok eper
3 rasiaa viinirypäleitä;3 boxes of grapes;3 doboz szőlő
8 banaania;8 bananas;8 banán
uusia perunoita;new potatoes;újburgonya
olutta kaikille;beer for everyone;sört mindenkinek
suklaalevyjä;chocolate bars;csokoládé táblák
2 pakettia kananmunia;2 packets of eggs;2 csomag tojás
lihapullia;meatballs;húsgombóc
vegenakkeja;veggies;vegán süti
sipsejä;crisps;chips
karkkipusseja;candy bags;zacskó édességet
