Finnish;hungarian
mielipide;vélemény
Mielipiteen kertominen;Véleményt adni
Musta lohikeitto on herkullista.;A fekete lazacleves finom.
Minusta Suomessa on talvella liian kylmä.;Szerintem Finnországban túl hideg van télen.
Minun / Mun mielestä koirat on hauskoja.;Szerintem a kutyák viccesek.
Minun mielestäni kissat ovat ihania.;Szerintem a macskák csodálatosak.
Olet samaa mieltä;Ön egyetért
Aivan!;Jobbra!
Joo, mä olen samaa mieltä.;Igen, egyetértek.
Ihan totta!;Tényleg
Niin juuri!;így van!
Olet eri mieltä;Ön nem ért egyet
Mä olen eri mieltä kuin sinä.;nem értek veled egyet.
Mä en ajattele noin.;Nem hiszem.
No, ei minun mielestä!;Hát nem az én véleményem szerint!
(Toisaalta) joo, mutta...;(másrészt) igen, de...
Mielipiteen kysyminen;Véleményt kérek
Mitä mieltä sä olet Tampereesta?;Mi a véleményed Tamperéről?
Onko Tampere sinun mielestä kiva kaupunki?;Szerinted Tampere szép város?
Entä mitä mieltä sä olet?;És mit gondolsz?
Onko punainen susta kiva väri?;A piros szerinted szép szín?
No joo, se on ihan ok.;Hát igen, ez rendben van.
Mitä mieltä sä olet Helsingistä?;Mi a véleményed Helsinkiről?
Mun mielestä se on tosi kaunis kaupunki. Entä sun?;Szerintem nagyon szép város. mi van veled?
Myönteisiä eli positiivisia adjektiiveja;Megerősítő vagy pozitív melléknevek
hauska;szórakoztató
mielenkiintoinen;érdekes
helppo;könnyen
mukava;Kedves
herkullinen;finom
rentouttava;nyugtató
ihana;csodálatos
söpö;aranyos
kiva;szép
terveellinen;egészséges
mahtava;fantasztikus
upea;nagyszerű
Kielteisiä eli negatiivisia adjektiiveja;Negatív melléknevek
hirveä;rettenetes
outo, kummallinen;furcsa, furcsa
huono;rossz
paha;gonosz
ikävä;unalmas
rankka;megterhelő
kamala;szörnyű
tyhmä;hülye
kauhea;szörnyű (félelmetes)
tylsä;unalmas
vaikea;nehéz
Lisäsanoja;További szavak
tosi;igaz
aika, melko;eléggé, eléggé
ei kovin;nem nagyon
Kenen mielestä korvapuusti on tosi herkullista?;Ki gondolja, hogy a fülfa igazán finom?
Veerasta ratikan odottaminen on joskus aika tylsää.;Veera szerint villamosra várni néha elég unalmas.
Mun kämppiksen mielestä shakki ei ole kovin mielenkiintoista.;A szobatársam szerint a sakk nem túl érdekes.
