French;Finnish;Hungarian
je fais;minä teen;én csinálok
tu fais;sinä teet;te csinálsz
il / elle fait;hän tekee;ő csinál (fiú / lány)
nous faisons;me teemme;mi csinálunk
vous faites;te teette;ti csináltok
ils / elles font;he tekevät;ők csinálnak (fiúk / lányok)
je prends;minä otan;én veszek
tu prends;sinä otat;te veszel
il / elle prend;hän ottaa;ő vesz (fiú / lány)
nous prenons;me otamme;mi veszünk
vous prenez;te otatte;ti vesztek
ils / elles prennent;he ottavat;ők vesznek (fiúk / lányok)
je bois;minä juon;én iszom
tu bois;sinä juot;te iszol
il / elle boit;hän juo;ő iszik (fiú / lány)
nous buvons;me juomme;mi iszunk
vous buvez;te juotte;ti isztok
ils / elles boivent;he juovat;ők isznak (fiúk / lányok)
je mange;minä syön;én eszem
tu manges;sinä syöt;te eszel
il / elle mange;hän syö;ő eszik (fiú / lány)
nous mangeons;me syömme;mi eszünk
vous mangez;te syötte;ti esztek
ils / elles mangent;he syövät;ők esznek (fiúk / lányok)
j'aime;minä pidän / rakastan;én szeretek
tu aimes;sinä pidät / rakastat;te szeretsz
il / elle aime;hän pitää / rakastaa;ő szeret (fiú / lány)
nous aimons;me pidämme / rakastamme;mi szeretünk
vous aimez;te pidätte / rakastatte;ti szerettek
ils / elles aiment;he pitävät / rakastavat;ők szeretnek (fiúk / lányok)
je préfère;minä pidän enemmän;én jobban szeretek
tu préfères;sinä pidät enemmän;te jobban szeretsz
il / elle préfère;hän pitää enemmän;ő jobban szeret (fiú / lány)
nous préférons;me pidämme enemmän;mi jobban szeretünk
vous préférez;te pidätte enemmän;ti jobban szerettek
ils / elles préfèrent;he pitävät enemmän;ők jobban szeretnek (fiúk / lányok)
j'envoie;minä lähetän;én küldök
tu envoies;sinä lähetät;te küldesz
il / elle envoie;hän lähettää;ő küld (fiú / lány)
nous envoyons;me lähetämme;mi küldünk
vous envoyez;te lähetätte;ti küldtök
ils / elles envoient;he lähettävät;ők küldenek (fiúk / lányok)
