French;Finnish;Hungarian
PARTIR;lähteä;elindulni
je pars;minä lähden;én elindulok
tu pars;sinä lähdet;te elindulsz
il part;hän lähtee (mies);ő elindul (fiú)
elle part;hän lähtee (nainen);ő elindul (lány)
nous partons;me lähdemme;mi elindulunk
vous partez;te lähdette;ti elindultok
ils partent;he lähtevät (miehet);ők elindulnak (fiúk)
elles partent;he lähtevät (naiset);ők elindulnak (lányok)
REVENIR;palata;visszajönni
je reviens;minä palaan;én visszajövök
tu reviens;sinä palaat;te visszajössz
il revient;hän palaa (mies);ő visszajön (fiú)
elle revient;hän palaa (nainen);ő visszajön (lány)
nous revenons;me palaamme;mi visszajövünk
vous revenez;te palaatte;ti visszajöttök
ils reviennent;he palaavat (miehet);ők visszajönnek (fiúk)
elles reviennent;he palaavat (naiset);ők visszajönnek (lányok)
ALLER;mennä;menni
je vais;minä menen;én megyek
tu vas;sinä menet;te mész
il va;hän menee (mies);ő megy (fiú)
elle va;hän menee (nainen);ő megy (lány)
nous allons;me menemme;mi megyünk
vous allez;te menette;ti mentek
ils vont;he menevät (miehet);ők mennek (fiúk)
elles vont;he menevät (naiset);ők mennek (lányok)
VENIR;tulla;jönni
je viens;minä tulen;én jövök
tu viens;sinä tulet;te jössz
il vient;hän tulee (mies);ő jön (fiú)
elle vient;hän tulee (nainen);ő jön (lány)
nous venons;me tulemme;mi jövünk
vous venez;te tulette;ti jöttök
ils viennent;he tulevat (miehet);ők jönnek (fiúk)
elles viennent;he tulevat (naiset);ők jönnek (lányok)
ARRIVER;saapua;megérkezni
j'arrive;minä saavun;én megérkezem
tu arrives;sinä saavut;te megérkezel
il arrive;hän saapuu (mies);ő megérkezik (fiú)
elle arrive;hän saapuu (nainen);ő megérkezik (lány)
nous arrivons;me saavumme;mi megérkezünk
vous arrivez;te saavutte;ti megérkeztek
ils arrivent;he saapuvat (miehet);ők megérkeznek (fiúk)
elles arrivent;he saapuvat (naiset);ők megérkeznek (lányok)
RESTER;jäädä;maradni
je reste;minä jään;én maradok
tu restes;sinä jäät;te maradsz
il reste;hän jää (mies);ő marad (fiú)
elle reste;hän jää (nainen);ő marad (lány)
nous restons;me jäämme;mi maradunk
vous restez;te jäätte;ti maradtok
ils restent;he jäävät (miehet);ők maradnak (fiúk)
elles restent;he jäävät (naiset);ők maradnak (lányok)
RENTRER;palata kotiin;hazamenni
je rentre;minä palaan kotiin;én hazamegyek
tu rentres;sinä palaat kotiin;te hazamész
il rentre;hän palaa kotiin (mies);ő hazamegy (fiú)
elle rentre;hän palaa kotiin (nainen);ő hazamegy (lány)
nous rentrons;me palaamme kotiin;mi hazamegyünk
vous rentrez;te palaatte kotiin;ti hazamentek
ils rentrent;he palaavat kotiin (miehet);ők hazamennek (fiúk)
elles rentrent;he palaavat kotiin (naiset);ők hazamennek (lányok)
RETOURNER;palata takaisin;visszatérni
je retourne;minä palaan takaisin;én visszatérek
tu retournes;sinä palaat takaisin;te visszatérsz
il retourne;hän palaa takaisin (mies);ő visszatér (fiú)
elle retourne;hän palaa takaisin (nainen);ő visszatér (lány)
nous retournons;me palaamme takaisin;mi visszatérünk
vous retournez;te palaatte takaisin;ti visszatértek
ils retournent;he palaavat takaisin (miehet);ők visszatérnek (fiúk)
elles retournent;he palaavat takaisin (naiset);ők visszatérnek (lányok)
REPARTIR;lähteä uudelleen;újra elindulni
je repars;minä lähden uudelleen;én újra elindulok
tu repars;sinä lähdet uudelleen;te újra elindulsz
il repart;hän lähtee uudelleen (mies);ő újra elindul (fiú)
elle repart;hän lähtee uudelleen (nainen);ő újra elindul (lány)
nous repartons;me lähdemme uudelleen;mi újra elindulunk
vous repartez;te lähdette uudelleen;ti újra elindultok
ils repartent;he lähtevät uudelleen (miehet);ők újra elindulnak (fiúk)
elles repartent;he lähtevät uudelleen (naiset);ők újra elindulnak (lányok)
DESCENDRE;mennä alas;lemenni
je descends;minä menen alas;én lemegyek
tu descends;sinä menet alas;te lemész
il descend;hän menee alas (mies);ő lemegy (fiú)
elle descend;hän menee alas (nainen);ő lemegy (lány)
nous descendons;me menemme alas;mi lemegyünk
vous descendez;te menette alas;ti lementek
ils descendent;he menevät alas (miehet);ők lemennek (fiúk)
