French;French (phonetic);Finnish;Hungarian
bleu;blø;sininen;kék
jeudi;ʒødi;torstai;csütörtök
déjeuner;deʒœne;lounas;ebéd
heureux;œʁø;onnellinen (mies);boldog (fiú)
heureuse;œʁøz;onnellinen (nainen);boldog (lány)
sérieuse;seʁjøz;vakava (nainen);komoly (lány)
curieuse;kyʁjøz;utelias (nainen);kíváncsi (lány)
neutre;nøtʁ;neutraali;semleges
feutre;føtʁ;huopakynä;filctoll
thérapeute;teʁapøt;terapeutti;terapeuta
oeufs;ø;munat;tojá­sok
boeufs;bø;härät / naudat;ökörök
voeu;vø;toive;fogadalom
seul;sœl;yksin;egyedül
heure;œʁ;tunti;óra
beurre;bœʁ;voi;vaj
leur;lœʁ;heidän;az ő
meilleur;mɛjœʁ;parempi;jobb
seulement;sœlmɑ̃;vain;csak
oeuf;œf;muna;tojás
boeuf;bœf;nauta;marha
coeur;kœʁ;sydän;szív
soeur;sœʁ;sisar;testvér (lány)
oeuvre;œvʁ;teos;mű
oeil;œj;silmä;szem
club;klœb;kerho;klub
pub;pyb;mainos;reklám
ketchup;kɛtʃœp;ketsuppi;kecsap
leader;lidœʁ;johtaja;vezető
manager;manadʒœʁ;päällikkö;menedzser
tee-shirt;tiʃœʁt;t-paita;poló
flirt;flœʁt;flirtti;flört
flirter;flœʁte;flirttailla;flörtölni
copie;kɔpi;kopio;másolat
police;pɔlis;poliisi;rendőrség
mot;mo;sana;szó
loto;loto;lotto;lottó
chose;ʃoz;asia;dolog
rose;ʁoz;vaaleanpunainen;rózsaszín
hôtel;otɛl;hotelli;szálloda
tôt;to;aikaisin;korán
côte;kot;rannikko;part
rôle;ʁol;rooli;szerep
chaud;ʃo;kuuma;meleg
faux;fo;väärä;hamis
pause;poz;tauko;szünet
saucisse;sosis;makkara;kolbász
saumon;somon;lohi;lazac
jaune;ʒon;keltainen;sárga
autre;otʁ;toinen;másik
paume;pom;kämmen;tenyér
cause;koz;syy;ok
eau;o;vesi;víz
beau;bo;kaunis (mies);szép (fiú)
château;ʃato;linna;kastély
bateau;bato;vene;hajó
bureau;byʁo;toimisto;iroda
toast;tost;paahtoleipä;pirítós
goal;gol;maali;gól
ferry-boat;fɛʁibo;lautta;komp
hall;ol;aula;csarnok
football;futbol;jalkapallo;futball
basket-ball;baskɛtbol;koripallo;kosárlabda
bol;bɔl;kulho;tál
tort;tɔʁ;virhe;hiba
forte;fɔʁt;vahva (nainen);erős (lány)
porter;pɔʁte;kantaa;vinni
folle;fɔl;hullu (nainen);őrült (lány)
sortir;sɔʁtiʁ;mennä ulos;kimenni
normal;nɔʁmal;tavallinen;normális
forum;fɔʁom;foorumi;fórum
maximum;maksimɔm;enimmäis;maksimum
minimum;minimɔm;vähimmäis;minimum
aquarium;akwaʁjɔm;akvaario;akvárium
oui;wi;kyllä;igen
Louis;lwi;Ludvig;Lajos
s'épanouir;sepanwiʁ;kukoistaa;kiteljesedni
ouest;wɛst;länsi;nyugat
tatoué;tatwe;tatutoitu;tetuovált
moi;mwa;minä;én
roi;ʁwa;kuningas;mieskirály (fiú)
bonsoir;bɔ̃swaʁ;hyvää iltaa;jó estét
toilette;twalɛt;vessa;mosdó
histoire;istwaʁ;tarina;történet
voyage;vwajaʒ;matka;utazás
moyen;mwajɛ̃;keino;eszköz
nettoyer;nɛtwaje;siivota;takarítani
voyelle;vwajɛl;vokaali;magánhangzó
loin;lwɛ̃;kaukana;messze
besoin;bəzwɛ̃;tarve;szükség
au moins;o mwɛ̃;ainakin;legalább
à point;a pwɛ̃;sopiva;pont jó
ci-joint;si ʒwɛ̃;liitteenä;csatolva
je suis;ʒə sɥi;olen;vagyok
ensuite;ɑ̃sɥit;sitten;azután
suisse;sɥis;sveitsiläinen;svájci
ennuyeux;ɑ̃nɥijø;tylsä (mies);unalmas (fiú)
appuyer;apɥije;painaa;nyomni
saluer;salɥe;tervehtiä;köszönni
continuer;kɔ̃tinɥe;jatkaa;folytatni
nuance;nyɑ̃s;sävy;árnyalat
situation;sityasjɔ̃;tilanne;helyzet
un pot;œ̃ po;purkki;edény
un petit pot;œ̃ pəti po;pieni purkki;kis edény
c'est de l'eau;sɛ də lo;se on vettä;ez víz
c'est trop tôt;sɛ tʁo to;on liian aikaista;túl korán van
hors de question;ɔʁ də kɛstjɔ̃;ei tule kysymykseenkään;szó sem lehet róla
on sort encore;ɔ̃ sɔʁ ɑ̃kɔʁ;lähdetään vielä ulos;még kimegyünk
autre chose;otʁ ʃoz;jotain muuta;valami más
beaucoup de chevaux;boku də ʃəvo;paljon hevosia;sok ló
un peu;œ̃ pø;vähän;kicsit
un petit peu;œ̃ pəti pø;vähän vain;egy kicsit
c'est le leur;sɛ lə lœʁ;se on heidän;az az övék
un peu mieux;œ̃ pø mjø;hieman paremmin;egy kicsit jobban
il est vieux;il ɛ vjø;hän on vanha (mies);öreg (fiú)
j'ai mal au coeur;ʒe mal o kœʁ;minua oksettaa;hányingerem van
ceux qui peuvent;sø ki pœv;ne, jotka voivat;akik tudnak
peu de cheveux;pø də ʃəvø;vähän hiuksia;kevés haj
