French;Finnish;Hungarian
Madame;rouva;nő (nainen)
papa;isi;apa (fiú)
bébé;vauva;baba
aller;mennä;menni
mère, maman;äiti;anya (nainen)
elle;hän (nainen);ő (lány)
fête;juhla;ünnep
château;linna;kastély
auto;auto;autó
porte;ovi;ajtó
bon(ne);hyvä;jó
peu;vähän;kevés
heureux;onnellinen;boldog (fiú)
sœur;sisar;húg / nővér (lány)
fleur;kukka;virág
le;se;az (hímnemű)
revue;aikakauslehti;folyóirat
menu;ruokalista;menü
ici;täällä;itt
gym;kuntosali;edzőterem
île;saari;sziget
cour;piha;udvar
coucou;moikka;szia
minute;minuutti;perc
culture;kulttuuri;kultúra
train;juna;vonat
sympa;mukava;szimpatikus
vin;viini;bor
bien;hyvin;jól
lundi;maanantai;hétfő
enfant;lapsi;gyerek
lampe;lamppu;lampa
temps;aika;idő
non;ei;nem
nom;nimi;név
Napoléon;Napoleon;Napóleon
crayon;kynä;ceruza
famille;perhe;család
soleil;aurinko;nap
jouer;leikkiä;játszani
oui;kyllä;igen
toi;sinä;te
nuit;yö;éj
lui;hänelle;neki
nuage;pilvi;felhő
gare;rautatieasema;vasútállomás
vague;aallon;hullám
gomme;puhkuri / radekumi;radír
kilo;kilo;kiló
cuisine;keittiö;konyha
qui;kuka;ki
politique;politiikka;politika
Lille;Lille;Lille
ballet;baletti;balett
elle est belle;hän on kaunis;ő szép (lány)
passeport;passi;útlevél
rapport;raportti;jelentés
Pierre;Pietari;Péter (fiú)
barbe;parta;szakáll
banane;banaani;banán
Tati;täti;néni
tête;pää;fej
toto;Toto;Toto
David;David;Dávid (fiú)
addition;lasku (ravintolassa);számla
éléphant;elefantti;elefánt
film;elokuva;film
voilà;kas tässä;íme
Vivianne;Vivianne;Vivianne (lány)
sel;suola;só
dessert;jälkiruoka;desszert
Cécile;Cécile;Cecília (lány)
cycle;kierto;körforgás
musique;musiikki;zene
vision;näkö;vízió / látás
zigzag;mutkitus;cikk-cakk
chercher;etsiä;keresni
chien (t-shirt);koira (t-paita);kutya (póló)
Georges;Georges;György (fiú)
gitan;romani;muzsikus cigány
Julien;Julien;Júlián (fiú)
Nana;tyttö;csaj (lány)
nonne;nunna;apáca (nainen)
campagne;maaseutu;vidék
cognac;konjakki;konyak
Espagne;Espanja;Spanyolország
parking;pysäköinti;parkoló
shopping;ostokset;bevásárlás
rire;nauraa;nevetni
France;Ranska;Franciaország
derrière;takana;mögött
cher;rakas;kedves
terroriste;terroristi;terrorista
Sylvie;Sylvie;Szilvia (lány)
pomme;omena;alma
crêpe;lettu / pannukakku;palacsinta
homme;mies;férfi (mies / fiú)
Yves;Yves;Iván (fiú)
Charles;Charles;Károly (fiú)
Bruxelles;Bryssel;Brüsszel
frites;ranskikset;hasábburgonya
bises;pusut;csókok
autres;muut;mások
standard;standardi;szabvány
port;satama;kikötő
toujours;aina;mindig
nation;kansa;nemzet
chic;tyylikäs;divatos
sportif;urheilullinen;sportos (mies)
mer;meri;tenger
journal;sanomalehti;újság
habitat;asuinalue;élőhely
hier;eilen;tegnap
adhésif;liima;ragasztó
photo;valokuva;fénykép
philosophie;filosofia;filozófia
alpha;alfa;alfa
chant;laulu;ének
chef;päällikkö;főnök
achat;osto;vásárlás
guerre;sota;háború
guépard;gepardi;gepard
fatigue;väsymys;fáradtság
Guillaume;Guillaume;Vilmos (fiú)
guitare;kitara;gitár
guide;opas;idegenvezető
que;että;hogy
querelle;riita;vita
fantastique;fantastinen;fantasztikus
quinine;kinini;kinin
quitter;lähtä pois;elhagyni
président;presidentti;elnök (mies / fiú)
international;kansainvälinen;nemzetközi
restaurant;ravintola;étterem
communication;viestintä;kommunikáció
baguette;patonki;bagett
croissant;voisarvi;croissant
café;kahvi;kávé
grand;suuri;nagy
Brie;Brie-juusto;Brie sajt
chat;kissa;macska (mies / fiú)
quand;milloin;mikor
