French;Finnish;Hungarian
ÉTUDIER;opiskella;tanulni
J'étudie;minä opiskelen;én tanulok
Tu étudies;sinä opiskelet;te tanulsz
Il étudie;hän (mies) opiskelee;ő (fiú) tanul
Elle étudie;hän (nainen) opiskelee;ő (lány) tanul
Nous étudions;me opiskelemme;mi tanulunk
Vous étudiez;te opiskelette;ti tanultok
Ils étudient;he (miehet) opiskelevat;ők (fiúk) tanulnak
Elles étudient;he (naiset) opiskelevat;ők (lányok) tanulnak
S'APPELER;olla nimeltään;nevezni (visszaható ige)
Je m'appelle;minun nimeni on;engem hívnak
Tu t'appelles;sinun nimesi on;téged hívnak
Il s'appelle;hänen (mies) nimensä on;őt (fiú) hívják
Elle s'appelle;hänen (nainen) nimensä on;őt (lány) hívják
Nous nous appelons;meidän nimemme on;bennünket hívnak
Vous vous appelez;teidän nimenne on;titeket hívnak
Ils s'appellent;heidän (miehet) nimensä on;őket (fiúk) hívják
Elles s'appellent;heidän (naiset) nimensä on;őket (lányok) hívják
ÊTRE;olla;lenni
Je suis;minä olen;én vagyok
Tu es;sinä olet;te vagy
Il est;hän (mies) on;ő (fiú) van
Elle est;hän (nainen) on;ő (lány) van
Nous sommes;me olemme;mi vagyunk
Vous êtes;te olette;ti vagytok
Ils sont;he (miehet) ovat;ők (fiúk) vannak
Elles sont;he (naiset) ovat;ők (lányok) vannak
PARLER;puhua;beszélni
Je parle;minä puhun;én beszélek
Tu parles;sinä puhut;te beszélsz
Il parle;hän (mies) puhuu;ő (fiú) beszél
Elle parle;hän (nainen) puhuu;ő (lány) beszél
Nous parlons;me puhumme;mi beszélünk
Vous parlez;te puhutte;ti beszéltek
Ils parlent;he (miehet) puhuvat;ők (fiúk) beszélnek
Elles parlent;he (naiset) puhuvat;ők (lányok) beszélnek
