French;Finnish;Hungarian
PARTIR;lähteä;elmenni
je pars;minä lähden;én elmegyek
tu pars;sinä lähdet;te elmész
il / elle part;hän lähtee;ő elmegy (fiú / lány)
nous partons;me lähdemme;mi elmegyünk
vous partez;te lähdette;ti elmentek
ils / elles partent;he lähtevät;ők elmennek (fiúk / lányok)
SORTIR;mennä ulos;kimenni
je sors;minä menen ulos;én kimegyek
tu sors;sinä menet ulos;te kimész
il / elle sort;hän menee ulos;ő kimegy (fiú / lány)
nous sortons;me menemme ulos;mi kimegyünk
vous sortez;te menette ulos;ti kimentek
ils / elles sortent;he menevät ulos;ők kimennek (fiúk / lányok)
SAVOIR;tietää;tudni
je sais;minä tiedän;én tudok
tu sais;sinä tiedät;te tudsz
il / elle sait;hän tietää;ő tud (fiú / lány)
nous savons;me tiedämme;mi tudunk
vous savez;te tiedätte;ti tudtok
ils / elles savent;he tietävät;ők tudnak (fiúk / lányok)
CONNAÎTRE;tuntea;ismerni
je connais;minä tunnen;én ismerek
tu connais;sinä tunnet;te ismersz
il / elle connaît;hän tuntee;ő ismer (fiú / lány)
nous connaissons;me tunnemme;mi ismerünk
vous connaissez;te tunnette;ti ismertek
ils / elles connaissent;he tuntevat;ők ismernek (fiúk / lányok)
S'APPELER;olla nimeltään;hívni (magát)
je m'appelle;minun nimeni on;engem hívnak
tu t'appelles;sinun nimesi on;téged hívnak
il / elle s'appelle;hänen nimensä on;őt hívják (fiú / lány)
nous nous appelons;meidän nimemme on;minket hívnak
vous vous appelez;teidän nimenne on;titeket hívnak
ils / elles s'appellent;heidän nimensä on;őket hívják (fiúk / lányok)
