French;Finnish;Hungarian
JE;minä;én
TU;sinä;te (tegezésben "te")
IL;hän (mies);ő (fiú)
ELLE;hän (nainen);ő (lány)
ON;me / ihmiset yleensä;mi / az ember (általánosan)
NOUS;me;mi
VOUS;te / teitittely;ti / ön (magázáskor)
ILS;he (miehet tai sekaryhmä);ők (fiúk / vegyes)
ELLES;he (vain naiset);ők (lányok)
je travaille;minä työskentelen;én dolgozom
tu travailles;sinä työskentelet;te dolgozol
il travaille;hän (mies) työskentelee;ő dolgozik (fiú)
elle travaille;hän (nainen) työskentelee;ő dolgozik (lány)
on travaille;työskennellään / ihmiset työskentelevät;dolgozunk / az ember dolgozik
nous travaillons;me työskentelemme;mi dolgozunk
vous travaillez;te työskentelette / teitittely: työskentelette;ti dolgoztok / ön dolgozik
ils travaillent;he (miehet tai sekaryhmä) työskentelevät;ők dolgoznak (fiúk / vegyes)
elles travaillent;he (vain naiset) työskentelevät;ők dolgoznak (lányok)
importer;tuoda maahan;importálni
je importe;minä tuon maahan;én importálok
tu importes;sinä tuot maahan;te importálsz
il importe;hän (mies) tuo maahan;ő importál (fiú)
elle importe;hän (nainen) tuo maahan;ő importál (lány)
on importe;tuodaan maahan;importálunk / az ember importál
nous importons;me tuomme maahan;mi importálunk
vous importez;te tuotte maahan / teitittely: tuotte maahan;ti importáltok / ön importál
ils importent;he (miehet / sekaryhmä) tuovat maahan;ők importálnak (fiúk / vegyes)
elles importent;he (vain naiset) tuovat maahan;ők importálnak (lányok)
parler;puhua;beszélni
je parle;minä puhun;én beszélek
tu parles;sinä puhut;te beszélsz
il parle;hän (mies) puhuu;ő beszél (fiú)
elle parle;hän (nainen) puhuu;ő beszél (lány)
on parle;puhutaan;beszélünk / az ember beszél
nous parlons;me puhumme;mi beszélünk
vous parlez;te puhutte / teitittely: puhutte;ti beszéltek / ön beszél
ils parlent;he (miehet / sekaryhmä) puhuvat;ők beszélnek (fiúk / vegyes)
elles parlent;he (vain naiset) puhuvat;ők beszélnek (lányok)
habiter;asua;lakni
je habite;minä asun;én lakom
tu habites;sinä asut;te laksz
il habite;hän (mies) asuu;ő lakik (fiú)
elle habite;hän (nainen) asuu;ő lakik (lány)
on habite;asutaan;lakunk / az ember lakik
nous habitons;me asumme;mi lakunk
vous habitez;te asutte / teitittely: asutte;ti laktok / ön lakik
ils habitent;he (miehet / sekaryhmä) asuvat;ők laknak (fiúk / vegyes)
elles habitent;he (vain naiset) asuvat;ők laknak (lányok)
être;olla;lenni
je suis;minä olen;én vagyok
tu es;sinä olet;te vagy
il est;hän (mies) on;ő van (fiú)
elle est;hän (nainen) on;ő van (lány)
on est;ollaan / ihmiset ovat;vagyunk / az ember van
nous sommes;me olemme;mi vagyunk
vous êtes;te olette / teitittely: olette;ti vagytok / ön van
ils sont;he (miehet / sekaryhmä) ovat;ők vannak (fiúk / vegyes)
elles sont;he (vain naiset) ovat;ők vannak (lányok)
