French;English;Hungarian
Il fait quel temps ?;Millainen sää on?;Milyen az idő?
Quel temps fait-il ?;Millainen on sää?;Milyen az idő van?
Il fait beau.;On kaunis ilma.;Szép idő van.
Il fait mauvais.;On huono sää.;Rossz idő van.
Il fait chaud.;On kuuma.;Meleg van.
Il fait frais.;On viileä.;Hűvös van.
Il fait froid.;On kylmä.;Hideg van.
Il fait soleil.;Aurinko paistaa.;Süt a nap.
Il fait quelle température ?;Mikä on lämpötila?;Hány fok van?
Quelle température fait-il ?;Mikä lämpötila on?;Milyen hőmérséklet van?
Il fait 25 (plus) degrés.;On 25 astetta lämmintä.;25 fok van.
Il fait moins 20 degrés.;On miinus 20 astetta.;Minusz 20 fok van.
Il y a du vent.;On tuulista.;Fúj a szél.
Il y a une tempête.;On myrsky.;Vihar van.
Il y a du brouillard.;On sumuista.;Köd van.
Il y a de l'orage.;On ukkonen.;Zivatar van.
Il pleut.;Sataa.;Esik.
Il neige.;Sataa lunta.;Havazik.
Dans le bulletin météo;Säätiedotuksessa:;Az időjárás-jelentésben:
Le temps est nuageux.;On pilvistä.;Felhős az idő.
Le temps est variable.;Sää vaihtelee.;Változékony az idő.
Le temps est ensoleillé.;On aurinkoista.;Napos az idő.
Il fait doux;On leuto sää;Enyhe az idő
principalement;pääasiassa;főként
Tout est relatif;Kaikki on suhteellista;Minden viszonylagos
agréable;miellyttävä;kellemes
le désert;aavikko;sivatag
