French;Finnish;Hungarian
acheter;ostaa;venni
alors;siis, siispä;akkor, tehát
anniversaire (m.);syntymäpäivä;születésnap
avec plaisir;mielellään;örömmel
bien sûr;totta kai;persze
bon(ne);hyvä;jó
cadeau (m.);lahja;ajándék
ce, cette;tämä, tänä;ez
communication professionnelle (f.);ammatillinen viestintä;szakmai kommunikáció
crêpe (f.);ohukainen, lettu;palacsinta
déjà;jo;már
discuter;keskustella;beszélgetni
ensemble;yhdessä;együtt
est-ce que;-ko, -kö;vajon
fête (f.);juhla, juhlat;ünnep
gâteau (m.);kakku;torta
habiter;asua;lakni
idée (f.);idea, ajatus;ötlet, gondolat
ingrédient (m.);ainesosa, valmistusaine;hozzávaló
inviter;kutsua;meghívni
jeudi (m.);torstai;csütörtök
même;sama;ugyanaz
pas encore;ei vielä;még nem
préparer;valmistaa, tehdä;előkészíteni, csinálni
résidence (f.);asuinpaikka, asunto;lakóhely, lakás
savoir;tietää;tudni
soir (m.);ilta;este
sympa (sympathique);kiva, mukava;kedves, szimpatikus
vais (aller);menen, mennä;megyek, menni
venir;tulla;jönni
âge (m.);ikä;kor (fiú)
beaucoup;paljon;sok
bouteille (f.);pullo;palack
chez;jonkun luona;valakinél
cidre (m.);siideri;almabor
copain (m.), copine (f.);kaveri;barát (fiú), barátnő (lány)
demain;huomenna;holnap
entrer;astua sisään, tulla sisään;belépni, bejönni
frapper;koputtaa;kopogni
joyeux, joyeuse;iloinen;vidám
là;täällä;ott
mais;mutta;de
on frappe à la porte;ovelle koputetaan;kopognak az ajtón
ouvrir;avata;kinyitni
parfait;täydellinen;tökéletes
plus tard;myöhemmin;később
porte (f.);ovi;ajtó
quel, quelle;mikä;melyik
salon (m.);olohuone;nappali
surprise (f.);yllätys;meglepetés
vingt-deux;22;huszonkettő
vingt-trois;23;huszonhárom
visiter;vierailla;látogatni
colocataire (m. / f.);kämppäkaveri, asuinkumppani;lakótárs (fiú / lány)
comment tu t'appelles ?;mikä sinun nimesi on?;hogy hívnak?
copain (m.);poikaystävä, kaveri;barát (fiú)
d'accord;selvä;rendben
en échange;vaihdossa;cserébe
étudiant(e) (m. / f.);opiskelija;diák (fiú / lány)
faire connaissance;tutustua, tehdä tuttavuutta;megismerkedni
invité(e) (m. / f.);vieras, kutsuvieras;vendég (fiú / lány)
manger;syödä;enni
passer;viettää;tölteni
qu'est-ce que;mitä;mi
s'appeler;olla nimenä;nevezni (magát)
semaine (f.);viikko;hét
travailler;työskennellä;dolgozni
