French;Finnish;Hungarian
les parents;vanhemmat;szülők
le père;isä;mèrférfi fiú
la mère;äiti;anya lány
un / une enfant;lapsi;gyermek fiú / lány
un bébé;vauva;bébi fiú / lány
un fils;poika;fiú fiú
une fille;tytär;lány lány
un frère;veli;fiútestvér fiú
un petit frère;pikkuveli;kisöcs fiú
un grand frère;isosetä;idősebb fiútestvér fiú
une soeur;sisko;lánytestvér lány
une petite soeur;pikkusisko;kishúg lány
une grande soeur;isosisko;nagy nővér lány
la belle-mère;äitipuoli / anoppi;mostohaanya / anyós lány
le beau-père;isäpuoli / appi;mostohaapa / após fiú
un demi-frère;puoliveli;féltestvér fiú
une demi-soeur;puolisisko;féltestvér lány
les grands-parents;isovanhemmat;nagyszülők
la grand-mère;mummo;nagymama lány
le grand-père;vaari;nagypapa fiú
les petits-enfants;lapsenlapset;unokák
un petit-fils;pojanpoika;fiúunoka fiú
une petite-fille;tyttärentytär;lányunoka lány
un oncle;setä / eno;bácsi / nagybácsi fiú
une tante;täti;néni lány
un cousin, une cousine;serkku;unokatestvér fiú / lány
les beaux-parents;appivanhemmat;házastárs szülei
un beau-fils / un gendre;vävy;vő fiú
une belle-fille;miniä;meny lány
un beau-frère;lankomies;sógor fiú
une belle-soeur;käly;sógornő lány
(être) célibataire;olla naimaton;egyedülálló fiú / lány
un petit-ami, un copain;poikaystävä;barát fiú
une petite-amie, une copine;tyttöystävä;barátnő lány
un copain, une copine;kaveri;barát / barátnő fiú / lány
le fiancé;kihlattu (poika);mátka fiú
la fiancée;kihlattu (tyttö);mátka lány
se marier;mennä naimisiin;megházasodni
le mariage;avioliitto;házasság
le mari;aviomies;férj fiú
la femme;vaimo;feleség lány
se séparer, divorcer;erota;különválni / elválni
être séparé(e), être divorcé(e);olla eronnut;elvált fiú / lány
une union libre;avoliitto;élettársi kapcsolat
vivre ensemble;asua yhdessä;együtt élni
un compagnon;elämäkumppani (poika);társ fiú
une compagne;elämäkumppani (tyttö);társ lány
l'enfance;lapsuus;gyermekkor
la jeunesse;nuoruus;ifjúság
l'adolescence;murrosikä;serdülőkor
un mineur;alaikäinen;kiskorú fiú
un majeur;täysi-ikäinen;nagykorú fiú
un adulte;aikuinen;felnőtt fiú / lány
partir en retraite;jäädä eläkkeelle;nyugdíjba menni
un / une retraité(e);eläkeläinen;nyugdíjas fiú / lány
un vieil homme;vanha mies;öreg férfi fiú
une vieille femme;vanha nainen;öreg nő lány
la vieillesse;vanhuus;öregség
