French;Finnish;Hungarian
avant;ennen;előtt
Bretagne (f.);Bretagnen niemimaa;Bretagne-félsziget
canadien(ne);kanadalainen;kanadai (fiú / lány)
cours (m.);kurssi, tunti;tanóra, kurzus (fiú)
de Montréal;Montrealista kotoisin;Montréalból származó
échange (f.);vaihto;cserediákprogram (lány)
étudiant(e);opiskelija;diák (fiú / lány)
étudiant(e) d'échange;vaihto-opiskelija;cserediák (fiú / lány)
étudier (I);opiskella;tanulni
négociation (f.);neuvottelu;tárgyalás (lány)
père (m.);isä;apa (fiú)
s'appeler (I);olla nimeltään;hívják valahogy
un cours de négociation internationale;kansainvälisen neuvottelutaidon kurssi;nemzetközi tárgyalástechnika kurzus
université (f.);yliopisto;egyetem (lány)
allez (aller*);no niin, mennä-verbi;na jó, menni-ige
ami(e) (m. / f.);ystävä;barát (fiú / lány)
anglais (m.);englanti;angol (fiú)
après;jälkeen, myöhemmin;után, később
arabe (m.);arabia;arab (fiú)
bienvenue;tervetuloa;isten hozott
chinois (m.);kiina;kínai (fiú)
cinq;viisi;öt
commencer (I);alkaa;kezdeni
design textile (m.);tekstiili- ja vaatesuunnittelu;textiltervezés (fiú)
deux;kaksi;kettő
douze;kaksitoista;tizenkettő
enfin;vihdoinkin;végre
espagnol (m.);espanja;spanyol (fiú)
interculturel(le);kulttuurienvälinen;kultúraközi (fiú / lány)
la communication interculturelle;kulttuurienvälinen viestintä;kultúraközi kommunikáció
langue (f.);kieli;nyelv (lány)
les sciences de la communication (f.);viestintätieteet;kommunikációtudományok
master (m.);ylempi korkeakoulututkinto;mesterfokozat (fiú)
minute (f.);minuutti;perc (lány)
nationalité (f.);kansallisuus;nemzetiség (lány)
onze;yksitoista;tizenegy
place (f.);paikka (tässä);hely, tér (lány)
plusieurs;moni, usea;több, számos
professeur (m.);opettaja;tanár (fiú)
salle (f.);sali, luokkahuone;terem, tanterem (lány)
sont (être*);ovat;vannak
super;hienoa, mahtavaa;szuper, nagyszerű
textile (m.);tekstiili, vaatetus;textil (fiú)
voilà;tässä;íme, tessék
vrai(e);tosi, totta;igaz (fiú / lány)
