French;Finnish;Hungarian
à côté;vieressä;mellette
arriver;saapua;megérkezni
avion (m.);lentokone;repülő (fiú)
billet (m.);lippu;jegy (fiú)
bonsoir;iltaa;jó estét
comprendre;ymmärtää;megérteni
content(e);tyytyväinen, iloinen;m: elégedett (fiú), f: elégedett (lány)
depuis;jostakin;óta
écologique;ekologinen;ökológiai
écrire;kirjoittaa;írni
en avion;lentokoneella;repülővel
gare (f.);asema;pályaudvar (lány)
hôtel (m.);hotelli;szálloda (fiú)
juste;ihan, aivan;éppen
juste à côté;aivan vieressä;közvetlen mellette
métro (m.);metro;metró (fiú)
minute (f.);minuutti;perc (lány)
partir;lähtä;elindulni
prendre le train;mennä junalla;vonatra szállni
rapide;nopea;gyors
réserver;varata;lefoglalni
simple;helppo, yksinkertainen;egyszerű
site (m.);nettisivu;honlap (fiú)
triste;surullinen;szomorú
voir;nähdä;látni
voyage (m.);matka;utazás (fiú)
aéroport (m.);lentokenttä;repülőtér (fiú)
au cas où;kaiken varalta;arra az esetre, ha
bureau (m.);toimisto;iroda (fiú)
départ (m.);lähtö;indulás (fiú)
gentil(le);kiltti, ystävällinen;m: kedves (fiú), f: kedves (lány)
message (m.);viesti;üzenet (fiú)
plan (m.);kartta;térkép (fiú)
regarder;katsoa;nézni
revenir;palata;visszajönni
travailler;työskennellä;dolgozni
venir chercher;tulla hakemaan / vastaan;elmenni valakiért / érte jönni
à pied;jalan;gyalog
agréable;miellyttävä, mukava;kellemes
arrêter;lopettaa;abbahagyni
entretemps;sillä välin;közben / ezalatt
froid;kylmä;hideg
gris(e);harmaa;szürke (fiú / lány follows form)
il pleut;sataa vettä;esik az eső
loin;kaukana;messze
maman;äiti;anya
marcher;kävellä;sétálni / járni
