French;Finnish;Hungarian
salon ; olohuone / salonki ; nappali
aspirine ; aspiriini ; aszpirin
chanson ; laulu ; dal
censure ; sensuuri ; cenzúra
virus ; virus ; vírus
assez ; tarpeeksi ; elég
casser ; rikkoa ; törni
grosse ; iso / suuri (nainen) ; nagy (nő)
fossile ; fossiili ; fosszília
célèbre ; kuuluisa ; híres
cent ; sata ; száz
force ; voima ; erő
ciel ; taivas ; ég
cycliste ; pyöräilijä ; kerékpáros
morceau ; pala ; darab
pharmacien ; apteekkari ; gyógyszerész
français ; ranskalainen ; francia
façade ; julkisivu ; homlokzat
leçon ; oppitunti ; lecke
garçon ; poika ; fiú
niçois ; nizzalainen ; nizzai
déçu ; pettynyt ; csalódott
six ; kuusi ; hat
dix ; kymmenen ; tíz
soixante ; kuusikymmentä ; hatvan
Bruxelles ; Bryssel ; Brüsszel
science ; tiede ; tudomány
piscine ; uima-allas ; uszoda
ascenseur ; hissi ; lift
initial ; alku- / ensimmäinen ; kezdeti
diplomatie ; diplomatia ; diplomácia
essentiel ; olennainen ; lényeges
présidentiel ; presidenttiin liittyvä ; elnöki
patience ; kärsivällisyys ; türelem
ambitieux ; kunnianhimoinen ; ambiciózus
édition ; painos / julkaisu ; kiadás
tradition ; perinne ; hagyomány
maison ; talo ; ház
musique ; musiikki ; zene
loisir ; harrastus ; szabadidő
musée ; museo ; múzeum
cuisine ; keittiö ; konyha
épisode ; jakso ; epizód
azur ; taivaansininen ; azúrkék
zèbre ; seepra ; zebra
onze ; yksitoista ; tizenegy
lézard ; lisko ; gyík
douze ; kaksitoista ; tizenkettő
gaz ; kaasu ; gáz
deuxième ; toinen ; második
sixième ; kuudes ; hatodik
dixième ; kymmenes ; tizedik
bonjour ; hyvää päivää ; jó napot
déjeuner ; lounas ; ebéd
jardin ; puutarha ; kert
journal ; sanomalehti ; újság
jupe ; hame ; szoknya
jamais ; ei koskaan ; soha
janvier ; tammikuu ; január
joujou ; lelu ; játék
rajouter ; lisätä ; hozzáadni
gentil ; kiltti ; kedves
gendarme ; gendarmi ; csendőr
général ; kenraali ; tábornok
gîte ; mökki ; vendégház
gitan ; mustalainen ; cigány
girafe ; kirahvi ; zsiráf
gymnastique ; voimistelu ; torna
rouge ; punainen ; piros
orange ; oranssi ; narancs
Georges ; Georges ; György
géographie ; maantiede ; földrajz
rougeâtre ; punertava ; vöröses
il mangeait ; hän söi ; ő evett
en rangeant ; siivotessa ; pakolva / rendbe rakva
mangeons ; syömme ; eszünk
nous savons ; me tiedämme ; tudjuk
vous savez ; te tiedätte ; tudjátok
ils sont ; he ovat ; ők vannak
dessert ; jälkiruoka ; desszert
poisson ; kala ; hal
coussin ; tyyny ; párna
deux soeurs ; kaksi siskoa ; két lánytestvér
assischose ; istuen oleva asia ; ülő dolog
chez ; luona ; -nál / -nél
chaud ; kuuma ; meleg
choux ; kaalit ; káposzta
des chats ; kis kissat ; macskák
haché ; jauhettu ; darált
j'ose ; uskallan ; merem
j'ai ; minulla on ; van nekem
Jo ; Jo ; Jo
cache ; piilottaa ; elrejt
les choux ; kaalit ; a káposzták
sache ; tiedä ; tudd
lécher ; nuolla ; nyalni
hache ; kirves ; balta
bouche ; suu ; száj
gage ; pantti ; fogadalom / biztosíték
les joues ; posket ; az arcok
sage ; viisas / kiltti ; okos / szófogadó
léger ; kevyt ; könnyű
âge ; ikä ; kor
bouge ; liikkuu ; mozog
joue ; poski ; arc
déjà ; jo ; már
âgé ; vanha ; idős
nous avons ; meillä on ; van nekünk
vous avez ; teillä on ; van nektek
ils ont ; heillä on ; nekik van
désert ; aavikko ; sivatag
poison ; myrkky ; méreg
cousin ; serkku ; fiú unokatestvér
deux heures ; kaksi tuntia ; két óra
Asie ; Aasia ; Ázsia
