French;Finnish;Hungarian
zéro;nolla;nulla
un;yksi;egy
deux;kaksi;kettő
trois;kolme;három
quatre;neljä;négy
cinq;viisi;öt
six;kuusi;hat
sept;seitsemän;hét
huit;kahdeksan;nyolc
neuf;yhdeksän;kilenc
dix;kymmenen;tíz
onze;yksitoista;tizenegy
douze;kaksitoista;tizenkettő
treize;kolmetoista;tizenhárom
quatorze;neljätoista;tizennégy
quinze;viisitoista;tizenöt
seize;kuusitoista;tizenhat
dix-sept;seitsemäntoista;tizenhét
dix-huit;kahdeksantoista;tizennyolc
dix-neuf;yhdeksäntoista;tizenkilenc
vingt;kaksikymmentä;húsz
vingt-et-un;kaksikymmentäyksi;huszonegy
vingt-deux;kaksikymmentäkaksi;huszonkettő
vingt-trois;kaksikymmentäkolme;huszonhárom
vingt-quatre;kaksikymmentäneljä;huszonnégy
vingt-cinq;kaksikymmentäviisi;huszonöt
vingt-six;kaksikymmentäkuusi;huszonhat
vingt-sept;kaksikymmentäseitsemän;huszonhét
vingt-huit;kaksikymmentäkahdeksan;huszonnyolc
vingt-neuf;kaksikymmentäyhdeksän;huszonkilenc
trente;kolmekymmentä;harminc
trente-et-un;kolmekymmentäyksi;harmincegy
trente-deux;kolmekymmentäkaksi;harminckettő
trente-trois;kolmekymmentäkolme;harminchárom
trente-quatre;kolmekymmentäneljä;harmincnégy
trente-cinq;kolmekymmentäviisi;harmincöt
trente-six;kolmekymmentäkuusi;harminchat
trente-sept;kolmekymmentäseitsemän;harminchét
trente-huit;kolmekymmentäkahdeksan;harmincnyolc
trente-neuf;kolmekymmentäyhdeksän;harminckilenc
quarante;neljäkymmentä;negyven
quarante-et-un;neljäkymmentäyksi;negyvenegy
quarante-deux;neljäkymmentäkaksi;negyvenkettő
quarante-trois;neljäkymmentäkolme;negyvenhárom
quarante-quatre;neljäkymmentäneljä;negyvennégy
quarante-cinq;neljäkymmentäviisi;negyvenöt
quarante-six;neljäkymmentäkuusi;negyvenhat
quarante-sept;neljäkymmentäseitsemän;negyvenhét
quarante-huit;neljäkymmentäkahdeksan;negyvennyolc
quarante-neuf;neljäkymmentäyhdeksän;negyvenkilenc
cinquante;viisikymmentä;ötven
cinquante-et-un;viisikymmentäyksi;ötvenegy
cinquante-deux;viisikymmentäkaksi;ötvenkettő
cinquante-trois;viisikymmentäkolme;ötvenhárom
cinquante-quatre;viisikymmentäneljä;ötvennégy
cinquante-cinq;viisikymmentäviisi;ötvenöt
cinquante-six;viisikymmentäkuusi;ötvenhat
cinquante-sept;viisikymmentäseitsemän;ötvenhét
cinquante-huit;viisikymmentäkahdeksan;ötvennyolc
cinquante-neuf;viisikymmentäyhdeksän;ötvenkilenc
soixante;kuusikymmentä;hatvan
soixante-et-un;kuusikymmentäyksi;hatvanegy
soixante-deux;kuusikymmentäkaksi;hatvankettő
soixante-trois;kuusikymmentäkolme;hatvanhárom
soixante-quatre;kuusikymmentäneljä;hatvannégy
soixante-cinq;kuusikymmentäviisi;hatvanöt
soixante-six;kuusikymmentäkuusi;hatvanhat
soixante-sept;kuusikymmentäseitsemän;hatvanhét
soixante-huit;kuusikymmentäkahdeksan;hatvannyolc
soixante-neuf;kuusikymmentäyhdeksän;hatvankilenc
soixante-dix;seitsemänkymmentä;hetven
soixante-et-onze;seitsemänkymmentäyksi;hetvenegy
soixante-douze;seitsemänkymmentäkaksi;hetvenkettő
soixante-treize;seitsemänkymmentäkolme;hetvenhárom
soixante-quatorze;seitsemänkymmentäneljä;hetvennégy
soixante-quinze;seitsemänkymmentäviisi;hetvenöt
soixante-seize;seitsemänkymmentäkuusi;hetvenhat
soixante-dix-sept;seitsemänkymmentäseitsemän;hetvenhét
soixante-dix-huit;seitsemänkymmentäkahdeksan;hetvennyolc
soixante-dix-neuf;seitsemänkymmentäyhdeksän;hetvenkilenc
quatre-vingts;kahdeksankymmentä;nyolcvan
quatre-vingt-un;kahdeksankymmentäyksi;nyolcvanegy
quatre-vingt-deux;kahdeksankymmentäkaksi;nyolcvankettő
quatre-vingt-trois;kahdeksankymmentäkolme;nyolcvanhárom
quatre-vingt-quatre;kahdeksankymmentäneljä;nyolcvannégy
quatre-vingt-cinq;kahdeksankymmentäviisi;nyolcvanöt
quatre-vingt-six;kahdeksankymmentäkuusi;nyolcvanhat
quatre-vingt-sept;kahdeksankymmentäseitsemän;nyolcvanhét
quatre-vingt-huit;kahdeksankymmentäkahdeksan;nyolcvannyolc
quatre-vingt-neuf;kahdeksankymmentäyhdeksän;nyolcvankilenc
quatre-vingt-dix;yhdeksänkymmentä;kilencven
quatre-vingt-onze;yhdeksänkymmentäyksi;kilencvenegy
quatre-vingt-douze;yhdeksänkymmentäkaksi;kilencvenkettő
quatre-vingt-treize;yhdeksänkymmentäkolme;kilencvenhárom
quatre-vingt-quatorze;yhdeksänkymmentäneljä;kilencvennégy
quatre-vingt-quinze;yhdeksänkymmentäviisi;kilencvenöt
quatre-vingt-seize;yhdeksänkymmentäkuusi;kilencvenhat
quatre-vingt-dix-sept;yhdeksänkymmentäseitsemän;kilencvenhét
quatre-vingt-dix-huit;yhdeksänkymmentäkahdeksan;kilencvennyolc
quatre-vingt-dix-neuf;yhdeksänkymmentäyhdeksän;kilencvenkilenc
cent;sata;száz
