French;Finnish;Hungarian
zéro;nolla (0);nulla
un;yksi (1);egy
deux;kaksi (2);kettő
trois;kolme (3);három
quatre;neljä (4);négy
cinq;viisi (5);öt
six;kuusi (6);hat
sept;seitsemän (7);hét
huit;kahdeksan (8);nyolc
neuf;yhdeksän (9);kilenc
dix;kymmenen (10);tíz
onze;yksitoista (11);tizenegy
douze;kaksitoista (12);tizenkettő
treize;kolmetoista (13);tizenhárom
quatorze;neljätoista (14);tizennégy
quinze;viisitoista (15);tizenöt
seize;kuusitoista (16);tizenhat
dix-sept;seitsemäntoista (17);tizenhét
dix-huit;kahdeksantoista (18);tizennyolc
dix-neuf;yhdeksäntoista (19);tizenkilenc
vingt;kaksikymmentä (20);húsz
vingt-et-un;kaksikymmentäyksi (21);huszonegy
vingt-deux;kaksikymmentäkaksi (22);huszonkettő
vingt-trois;kaksikymmentäkolme (23);huszonhárom
vingt-quatre;kaksikymmentäneljä (24);huszonnégy
vingt-cinq;kaksikymmentäviisi (25);huszonöt
vingt-six;kaksikymmentäkuusi (26);huszonhat
vingt-sept;kaksikymmentäseitsemän (27);huszonhét
vingt-huit;kaksikymmentäkahdeksan (28);huszonnyolc
vingt-neuf;kaksikymmentäyhdeksän (29);huszonkilenc
trente;kolmekymmentä (30);harminc
trente-et-un;kolmekymmentäyksi (31);harmincegy
trente-deux;kolmekymmentäkaksi (32);harminckettő
trente-trois;kolmekymmentäkolme (33);harminchárom
trente-quatre;kolmekymmentäneljä (34);harmincnégy
trente-cinq;kolmekymmentäviisi (35);harmincöt
trente-six;kolmekymmentäkuusi (36);harminchat
trente-sept;kolmekymmentäseitsemän (37);harminchét
trente-huit;kolmekymmentäkahdeksan (38);harmincnyolc
trente-neuf;kolmekymmentäyhdeksän (39);harminckilenc
quarante;neljäkymmentä (40);negyven
quarante-et-un;neljäkymmentäyksi (41);negyvenegy
quarante-deux;neljäkymmentäkaksi (42);negyvenkettő
quarante-trois;neljäkymmentäkolme (43);negyvenhárom
quarante-quatre;neljäkymmentäneljä (44);negyvennégy
quarante-cinq;neljäkymmentäviisi (45);negyvenöt
quarante-six;neljäkymmentäkuusi (46);negyvenhat
quarante-sept;neljäkymmentäseitsemän (47);negyvenhét
quarante-huit;neljäkymmentäkahdeksan (48);negyvennyolc
quarante-neuf;neljäkymmentäyhdeksän (49);negyvenkilenc
cinquante;viisikymmentä (50);ötven
cinquante-et-un;viisikymmentäyksi (51);ötvenegy
cinquante-deux;viisikymmentäkaksi (52);ötvenkettő
cinquante-trois;viisikymmentäkolme (53);ötvenhárom
cinquante-quatre;viisikymmentäneljä (54);ötvennégy
cinquante-cinq;viisikymmentäviisi (55);ötvenöt
cinquante-six;viisikymmentäkuusi (56);ötvenhat
cinquante-sept;viisikymmentäseitsemän (57);ötvenhét
cinquante-huit;viisikymmentäkahdeksan (58);ötvennyolc
cinquante-neuf;viisikymmentäyhdeksän (59);ötvenkilenc
soixante;kuusikymmentä (60);hatvan
soixante-et-un;kuusikymmentäyksi (61);hatvanegy
soixante-deux;kuusikymmentäkaksi (62);hatvankettő
soixante-trois;kuusikymmentäkolme (63);hatvanhárom
soixante-quatre;kuusikymmentäneljä (64);hatvannégy
soixante-cinq;kuusikymmentäviisi (65);hatvanöt
soixante-six;kuusikymmentäkuusi (66);hatvanhat
soixante-sept;kuusikymmentäseitsemän (67);hatvanhét
soixante-huit;kuusikymmentäkahdeksan (68);hatvannyolc
soixante-neuf;kuusikymmentäyhdeksän (69);hatvankilenc
