French;Finnish;Hungarian
un;yksi (1);egy
deux;kaksi (2);kettő
trois;kolme (3);három
quatre;neljä (4);négy
cinq;viisi (5);öt
six;kuusi (6);hat
sept;seitsemän (7);hét
huit;kahdeksan (8);nyolc
neuf;yhdeksän (9);kilenc
dix;kymmenen (10);tíz
onze;yksitoista (11);tizenegy
douze;kaksitoista (12);tizenkettő
treize;kolmetoista (13);tizenhárom
quatorze;neljätoista (14);tizennégy
quinze;viisitoista (15);tizenöt
seize;kuusitoista (16);tizenhat
dix-sept;seitsemäntoista (17);tizenhét
dix-huit;kahdeksantoista (18);tizennyolc
dix-neuf;yhdeksäntoista (19);tizenkilenc
vingt;kaksikymmentä (20);húsz
