French;Finnish;Hungarian
à 13 heures; kello 13; 13 órakor
à demain; huomiseen; holnapig
à quelle heure ?; moneltako?; hány órakor?
acheter; ostaa; vásárolni
aimer; pitää, rakastaa; szeretni
aller; mennä; menni
allô; haloo; halló
apéritif (m.); aperitiivi, alkudrinkki; előital
après-midi (m.); iltapäivä; délután
au centre; keskustassa; a központban
avec plaisir; mielellään; szívesen
avoir envie de; haluta; kedve van vmihez
avoir le temps; olla aikaa; van ideje
boutique (f.); kauppa, putiikki; bolt, butik
ça marche; selvä on, sopii; rendben van
ça va vite; aika kuluu nopeasti; gyorsan megy az idő
ça vous dit; sopisiko teille; volna kedve hozzá?
ça vous intéresse; kiinnostaako se teitä; érdekli önt?
centre (m.); keskusta; központ
chez; jonkun luo, luona; -nál, -nél
chose (f.); jokin asia; dolog
cinéma (m.); elokuvat; mozi
coiffeur, coiffeuse; kampaaja mies / nainen; fodrász fiú / lány
connaître; tuntea; ismerni
dans le quartier; kaupunginosassa, naapurustossa; a városrészben
décider; päättää; eldönteni
déjà; jo; már
demain; huomenna; holnap
dernier, dernière (f.); viimeinen, edellinen; utolsó, előző
dimanche (m.); sunnuntai; vasárnap
dire; sanoa; mondani
écouter; kuunnella; hallgatni
encore; vielä; még
enfant (m.); lapsi; gyerek (fiú)
ensemble; yhdessä; együtt
excellent, excellente (f.); erinomainen; kiváló
faire le jogging; lenkkeillä; kocogni
fermer; sulkea; bezárni
film (m.); elokuva; film
fois (f.); kerta; alkalom
heure (f.); tunti, aika; óra
il y a; siellä on; van, létezik
intéresser; kiinnostaa; érdekelni
je ne sais pas; en tiedä; nem tudom
je voudrais; haluaisin; szeretnék
libre; vapaa; szabad
mais; mutta; de
marocain, marocaine (f.); marokkolainen mies / nainen; marokkói fiú / lány
matin (m.); aamu; reggel
merci à vous; kiitos teille; köszönöm önnek
n'a pas envie; ei halua; nincs kedve
n'aime pas; ei tykkää, ei pidä; nem szereti
n'est-ce pas ?; eikö niin?; ugye?
on décide ensemble ?; päätetäänkö yhdessä?; együtt döntünk?
parfait; täydellinen; tökéletes
partir; lähteä; elmenni
passer; käydä, piipahtaa; benézni
petit (m.), petite (f.); pieni; kicsi fiú / lány
peut-être; ehkä; talán
pour; jollekin, jotakin varten; -nak, -nek, számára
pourquoi pas; miksipä ei; miért ne
promenade (f.); kävely; séta
puis; sitten; aztán
quartier (m.); kaupungin osa; városrész
quel (m.), quelle (f.); mikä; melyik
quelque chose; jotain; valami
ravi (m.), ravie (f.); iloinen, ilahtunut; örülő fiú / lány
rendez-vous (m.); tapaaminen; találkozó
restaurant (m.); ravintola; étterem
rue (f.); katu; utca
samedi (m.); lauantai; szombat
savoir; tietää; tudni
si; jos; ha
soir (m.); ilta; este
trois heures et demie; puoli neljä; fél négy
vers; maissa; körül
vite; nopeasti; gyorsan
voir; katsoa; látni
week-end (m.); viikonloppu; hétvége
à midi; puoliltapäivin, kello 12; délben, 12 órakor
aller (+ inf.); lähifutuuri; közeljövő (igealak)
(alors) donc; siispä; tehát
appeler; soittaa; hívni, telefonálni
après; sen jälkeen; azután
art (m.); taide; művészet
attendre; odottaa; várni
au fait; itse asiassa; tulajdonképpen
au secours; apua, auttakaa; segítség!
bibliothèque (f.); kirjasto; könyvtár
c'est le; numero on; ez a szám
ça te dit; kiinnostaisiko sinua; volna kedved hozzá?
cantine (f.); ruokala; menza, étkezde
changer; vaihtaa; cserélni
chez moi; kotonani; otthon nálam
déjeuner; lounastaa; ebédelni
design (m.); suunnittelu, design; dizájn, tervezés
difficile; vaikea; nehéz
en français; ranskaksi; franciául
en France; Ranskassa; Franciaországban
en pairs; pareittain; párokban
en plus; lisäksi; ráadásul
études (f. pl.); opiskelut; tanulmányok
étudier; opiskella; tanulni
euh; tuota noin; öö, hát
exactement; tarkalleen, juuri niin; pontosan, épp így
exposition (f.); näyttely; kiállítás
facile; helppo; könnyű
faire une pause; pitää tauko; szünetet tartani
fête (f.); juhla, juhlat; ünnep, buli
galerie (f.); galleria; galéria
guide (m. / f.); opas mies / nainen; idegenvezető fiú / lány
il va faire; hän aikoo tehdä; csinálni fog
important (m.), importante (f.); tärkeä; fontos fiú / lány
là; tällä hetkellä; ott, most
merci; kiitos; köszönöm
midi (m.); puolipäivä, kello 12; dél
mouais; hmm, no joo; hát ja, hm
musée (m.); museo; múzeum
nombre (m.); numero; szám
numéro de téléphone; puhelinnumero; telefonszám
on dit; sanotaan; azt mondják
ou; tai, vai; vagy
où; missä; hol
pair (m.), paire (f.); pari; pár fiú / lány
pause (f.); tauko; szünet
pour changer; vaihtelun vuoksi; a változatosság kedvéért
présentation (f.); esitelmä; bemutató, előadás
qu'est-ce que; mitä, mikä; mi
quoi; mitä; mit?
sortir; mennä ulos; kimenni
tennis (m.); tennis; tenisz
tour (m.); kierros; körút, kör
tout à l'heure; kohta; nemsokára
une expo d'art; taidenäyttely; művészeti kiállítás
vendredi; perjantai; péntek
