French;English;Hungarian
Bonjour;Hello;Jó napot
Enchanté(e);Nice to meet you;Örvendek
Se présenter;To introduce oneself;Bemutatkozni
Je suis Paszkal;I am Paszkal;Én Paszkál vagyok
Moi, c'est Paszkal;Me, it's Paszkal;Én, Paszkál
Je m'appelle Paszkal;My name is Paszkal;A nevem Paszkál
Je suis hongrois;I am Hungarian;Magyar vagyok
J'habite à Genève;I live in Geneva;Genfben lakom
J'habite à Gex;I live in Gex;Gexben lakom
en France;in France;Franciaországban
en Suisse;in Switzerland;Svájcban
Je suis étudiant technique;I am a technical student;Műszaki hallgató vagyok
Je suis professeur;I am a teacher;Tanár vagyok
Je travaille au CERN;I work at CERN;A CERN-ben dolgozom
Je suis marié(e);I am married;Házas vagyok
Je suis célibataire;I am single;Egyedülálló vagyok
Je n'ai pas d'enfant;I don't have children;Nincs gyermekem
J'ai trois enfants;I have three children;Három gyermekem van
Je parle hongrois, anglais, et finnois;I speak Hungarian, English, and Finnish;Beszélek magyarul, angolul, és finnül
Je parle un peu français;I speak a little French;Beszélek egy kicsit franciául
Je ne parle pas allemand;I don't speak German;Nem beszélek németül
J'apprends le français;I am learning French;Franciát tanulok
Et vous ?;And you?;És Ön / Te?
Mon mari;My husband;A férjem
Ma femme;My wife;A feleségem
Je suis hongrois.;I am Hungarian.;Magyar vagyok.
J'habite à Saint-Genès en France.;I live in Saint Genès in France.;Saint-Genès-ben, Franciaországban élek.
Je travaille en France.;I work in France.;Franciaországban dolgozom.
Je ne parle pas allemand.;I don't speak German.;Nem beszélek németül.
