Finnish;Finnish (monikon illatiivi)
talo;taloihin
katu;katuihin
pallo;palloihin
pöllö;pöllöihin
sato;satoihin
kynä;kyniin
isä;isiin
leipä;leipiin
pöytä;pöytiin
hätä;hätiin
sana;sanoihin
kala;kaloihin
teema;teemoihin
kirja;kirjoihin
liima;liimoihin
koira;koiriin
tukka;tukkiin
loma;lomiin
kooma;koomiin
kuha;kuhiin
lukija;lukijoihin
harjoittelija;harjoittelijoihin
työntekijä;työntekijöihin
keskusta;keskustoihin
kitara;kitaroihin
kynttilä;kynttilöihin
kanuuna;kanuunoihin
miljoona;miljooniin
kanava;kanaviin
etsivä;etsiviin
haituva;haituviin
ihana;ihaniin
mukava;mukaviin
valoisa;valoisiin
mansikka;mansik(k)oihin
profeetta;profeet(t)oihin
myräkkä;myräk(k)öihin
tiimi;tiimeihin
posti;posteihin
tili;tileihin
bussi;busseihin
banaani;banaaneihin
insinööri;insinööreihin
järvi;järviin
sieni;sieniin
sormi;sormiin
lahti;lahtiin
pilvi;pilviin
vesi;vesiin
käsi;käsiin
susi;susiin
huone;huoneisiin
kirje;kirjeisiin
parveke;parvekkeisiin
nainen;naisiin
eteinen;eteisiin
sininen;sinisiin
ihminen;ihmisiin
maa;maihin
suu;suihin
työ;töihin
tie;teihin
voi;voihin
täi;täihin
vapaa;vapaisiin
harmaa;harmaisiin
suklaa;suklaisiin
essee;esseisiin
vaikea;vaikeisiin
rohkea;rohkeisiin
pimeä;pimeisiin
usea;useisiin
radio;radioihin
museo;museoihin
keittiö;keittiöihin
rakas;rakkaisiin
taivas;taivaisiin
opas;oppaisiin
kallis;kalliisiin
kaunis;kauniisiin
kauris;kauriisiin
ruis;rukiisiin
mahdollisuus;mahdollisuuksiin
rakkaus;rakkauksiin
ystävyys;ystävyyksiin
pimeys;pimeyksiin
ilves;ilveksiin
aines;aineksiin
kives;kiveksiin
työtön;työttömiin
rahaton;rahattomiin
maidoton;maidottomiin
puhelin;puhelimiin
avain;avaimiin
keitin;keittimiin
kevyt;kevyisiin
olut;oluisiin
väsynyt;väsyneisiin
ollut;olleisiin
mennyt;menneisiin
tytär;tyttäriin
herttuatar;herttuattariin
bestseller;bestsellereihin
cocktail;cocktaileihin
copyright;copyrighteihin
skinhead;skinheadeihin
café au lait;café au lait'ihin
tyttö;tyttöihin
silta;siltoihin
puku;pukuihin
savuke;savukkeisiin
puhallin;puhaltimiin
hylly;hyllyihin
aamu;aamuihin
helppo;helppoihin
verho;verhoihin
metsä;metsiin
kesä;kesiin
kylmä;kylmiin
ystävä;ystäviin
hellä;helliin
hinta;hintoihin
kissa;kissoihin
marja;marjoihin
herra;herroihin
tapa;tapoihin
kukka;kukkiin
muna;muniin
oja;ojiin
tumma;tummiin
sukka;sukkiin
myyjä;myyjiin
työnantaja;työnantajiin
kampaaja;kampaajiin
sairaala;sairaaloihin
ravintola;ravintoloihin
hytinä;hytinöihin
patruuna;patruunoihin
persoona;persooniin
kokoelma;kokoelmiin
asema;asemiin
ohjelma;ohjelmiin
ankara;ankariin
terävä;teräviin
katkera;katkeriin
piirakka;piirak(k)oihin
navetta;navottoihin, navetoihin
pyörykkä;pyöryk(k)öihin
pankki;pankkeihin
maali;maaleihin
tyyli;tyyleihin
hotelli;hotelleihin
krokotiili;krokotiileihin
arkkitehti;arkkitehteihin
ovi;oviin
kivi;kiviin
nimi;nimiin
lehti;lehtiin
saari;saariin
reisi;reisiin
köysi;köysiin
lapsi;lapsiin
perhe;perheisiin
kone;koneisiin
koe;kokeisiin
hevonen;hevosiin
iloinen;iloisiin
toinen;toisiin
tavallinen;tavallisiin
sää;säihin
vyö;vöihin
kuu;kuihin
jää;jäihin
koi;koihin
hai;haihin
vakaa;vakaisiin
hakkuu;hakkuisiin
takuu;takuisiin
trikoo;trikoisiin
idea;ideoihin
komitea;komiteoihin
orkidea;orkideoihin
urea;ureoihin
televisio;televisioihin
kaakao;kaakaoihin
rodeo;rodeoihin
rikas;rikkaisiin
lipas;lippaisiin
vieras;vieraisiin
roskis;roskiksiin
kirppis;kirppiksiin
fiilis;fiiliksiin
futis;futiksiin
vastaus;vastauksiin
kysymys;kysymyksiin
keskus;keskuksiin
tarjous;tarjouksiin
bisnes;bisneksiin
diabetes;diabeteksiin
vihannes;vihanneksiin
koditon;kodittomiin
rasvaton;rasvattomiin
alkoholiton;alkoholittomiin
kiharrin;kihartimiin
leivänpaahdin;leivänpaahtimiin
tuuletin;tuulettimiin
ohut;ohuisiin
neitsyt;neitsyisiin
kiinnostunut;kiinnostuneisiin
maalannut;maalanneisiin
valmistunut;valmistuneisiin
kuningatar;kuningattariin
jumalatar;jumalattariin
boomer;boomereihin
bagel;bageleihin
burnout;burnouteihin
helpdesk;helpdeskeihin
beignet;beignet'ihin
hattu;hattuihin
kampa;kampoihin
kauppa;kauppoihin
tavoite;tavoitteisiin
hammas;hampaisiin
allas;altaisiin
oikea;oikeisiin
vihreä;vihreisiin
