Finnish;english
tekoäly;artificial intelligence
muuttaa;change
maailma;world
vaikka;although
emme;we do not
se;it
aina;always
huomata, todeta;note
olla;be
tulla;become
osa;part
arki;everyday
mutta;but
mitä;what
oikeastaan;really
tarkoittaa;mean
yleensä;usually
tietokone;computer
tietokoneohjelma;computer program
tehdä;make
älykäs;intelligent
toiminto;function
esimerkiksi;for example
kääntää;turn
automaattisesti;as a matter of routine
kieli;language
toinen;second
suomi;Finnish
englanti;English
auttaa;help
lääkäri;doctor
tunnistaa;recognize
ihosairaus;skin disease
kuva;picture
peruste;justification
ihminen;man
päätös;decision
perustua;be based on
ohjelmoida;program
suorittaa;run
eri(lainen);different
tehtävä;task
hakea;seek
valtava;huge
tietomäärä;amount of information
joku;someone
tietty;certain
asia;thing
verrata;compare
keskenään;among themselves
päätelmä;conclusion
virhe;error
oppia;learn
tuki;support
kognitiotiede;cognition science
yliopistonlehtori;university lecturer
kertoa;tell
avulla;through
luoda;create
keinotekoinen;artificial
ennuste;prognosis
ilmastonmuutos;climate change
edetä;proceed
pystyä;can
virtuaalimaailma;virtual world
todellisuus;reality
käyttää;use
viihde;entertainment
uusi;new
keksintö;invention
suunnittelu;design
hyvä;good
paha;evil
mihin;where
ansiosta;thanks to
moni;multi
työtehtävä;job
entinen;former
nopea;fast
tehokas;effective
tarkka;exact
ihmiskunta;mankind
suuri;large
ongelma;problem
ratkominen;solicitation
hyöty;benefit
hillitseminen;containment
iso;big
yritys;company
kaupunki;city
toimia;act
tuhlata;waste
energia;energy
yksittäinen;single
elää;live
parempi;better
puhesovellus;speech application
vaikeus;difficulty
puhuminen;talking
sovellus;application
ymmärtää;understand
henkilö;person
haluta;want
sanoa;say
muu;other
mahdollinen;possible
maa;country
valvoa;control
kansalainen;national
tarkkailla;monitor
liikkua;move
sosiaalinen;social
media;media
mielipide;opinion
joutua;get
valtio;state
hyväksyä;accept
kaltainen;like
demokraattinen;democratic
viranomainen;authoritative
korostaa;highlight
tasa-arvo;equality
toteutuminen;realization
kiinnittää;attach
huomio;attention
vahinko;damage
ominaisuus;feature
johtaa;lead
epäoikeudenmukainen;unjust
kohtelu;treatment
määritelmä;definition
hankala;tricky
tutkija;investigator
mieli;mind
määritellä;define
minä;I
nykyinen;current
ohjelmisto;software
aidosti;truly
vaativa;demanding
merkitys;importance
sellöin;pulp
kutsua;call
tieteenala;discipline
oppiminen;learning
muisti;memory
käsite;concept
esimerkki;example
ohjailla;maneuver
liikennevalo;traffic signal
toiminta;activities
käsitellä;deal with
virasto;office
seuraava;next
kaikkialla;everywhere
apu;assistance
Kela;Coil
verovirasto;tax office
paljon;much
toimeentulotuki;income support
vammaistuki;disability support
virkailija;official
työntekijä;worker
lopullinen;final
laskea;calculate
verran;about
kukin;each
laki;law
maksaa;pay
vero;tax
pankki;bank
avustaa;assist
lasku;fall
suoratoistopalvelu;streaming service
näyttää;show
sisältö;contents
kiinnostaa;interest
tykkäys;liking
suositella;recommend
käyttäjä;user
samanlainen;similar
elokuva;movie
sarja;series
periaate;principle
Spotify;Spotify
musiikki;music
kuunnella;listen
aiemmin;previously
mainos;ad
jokin;one
tuote;product
Google;Google
nettisivu;website
vierailla;visit
virtuaalinen;virtual
matkapuhelin;mobile phone
ladata;load
puhe;speech
pyytää;request
avata;open
kirjoittaa;write
viesti;message
Apple;Apple
Siri;Siri
Amazon;Amazon
Alexa;Alexa
Google Assistant;Google Assistant
video;video
videoväärennös;video counterpart
aido;genuine
esiintyvä;present
hahmo;character
valtionjohtaja;state leader
vääristely;distortion
nähdä;see
outo;strange
miettiä;think about
kyse;the point of view of
robottiauto;robot car
hyödyntää;exploit
itsenäisesti;independently
kuljettaja;driver
koekäyttö;trial run
tavallinen;usual
pysäköidä;park
itse;self
kestää;take
kauan;long
yleistyä;become widespread
liikenne;transport
sujuva;fluent
