Finnish;English
vety;hydrogen
helium;helium
litium;lithium
beryllium;beryllium
boori;boron
hiili;carbon
typpi;nitrogen
happi;oxygen
fluori;fluorine
neon;neon
natrium;sodium
magnesium;magnesium
alumiini;aluminium
pii;silicon
fosfori;phosphorus
rikki;sulfur
kloori;chlorine
argon;argon
kalium;potassium
kalsium;calcium
skandium;scandium
titaani;titanium
vanadiini;vanadium
kromi;chromium
mangaani;manganese
rauta;iron
koboltti;cobalt
nikkeli;nickel
kupari;copper
sinkki;zinc
gallium;gallium
germanium;germanium
arseeni;arsenic
seleeni;selenium
bromi;bromine
krypton;krypton
rubidium;rubidium
strontium;strontium
yttrium;yttrium
zirkonium;zirconium
niobium;niobium
molybdeeni;molybdenum
teknetium;technetium
rutenium;ruthernium
rodium;rhodium
palladium;palladium
hopea;silver
kadmium;cadmium
indium;indium
tina;tin
antimoni;antimony
telluuri;tellurium
jodi;iodine
ksenon;xenon
cesium;caesium
barium;barium
lantaani;lanthanum
cerium;cerium
praseodyymi;praseodymium
neodyymi;neodymium
prometium;promethium
samarium;samarium
europium;europium
gadolinium;gadolinium
terbium;terbium
dysprosium;dysprosium
holmium;holmium
erbium;erbium
tulium;thulium
ytterbium;ytterbium
lutetium;lutetium
hafnium;hafnium
tantaali;tantalum
volframi;tungsten
renium;rhenium
osmium;osmium
iridium;iridium
platina;platinum
kulta;gold
elohopea;mercury
tallium;thallium
lyijy;lead
vismutti;bismuth
polonium;polonium
astatiini;astatine
radon;radon
frankium;francium
radium;radium
aktinium;actinium
torium;thorium
protaktinium;protactinium
uraani;uranium
neptunium;neptunium
plutonium;plutonium
amerikium;americium
curium;curium
berkelium;berkelium
kalifornium;californium
einsteinium;einsteinium
fermium;fermium
mendelevium;mendelevium
nobelium;nobelium
lawrencium;lawrencium
rutherfordium;rutherfordium
dubnium;dubnium
seaborgium;seaborgium
bohrium;bohrium
hassium;hassium
meitnerium;meitnerium
darmstadtium;darmstadtium
röntgenium;roentgenium
kopernikium;copernicium
nihonium;nihonium
flerovium;flerovium
moskovium;moscovium
livermorium;livermorium
tennessiini;tennessine
organesson;organesson
