English;Finnish
1/2;puoli
1 1/2;puolitoista
2 1/2;kaksi ja puoli
1/3;kolmasosa
2/3;kaksi kolmasosaa
1/4;neljäsosa
2/4;kaksi neljäsosaa
3/4;kolme neljäsosaa
1/5;viidesosa
4 3/5;neljä ja kolme viidesosaa
1/6;kuudesosa
1/7;seitsemäsosa
1/8;kahdeksasosa
1/9;yhdeksäsosa
1/10;kymmenesosa
1/11;yhdestoistaosa
1/12;kahdestoistaosa
1/13;kolmastoistaosa
1/14;neljästoistaosa
1/15;viidestoistaosa
1/16;kuudestoistaosa
1/17;seitsemästoistaosa
1/18;kahdeksastoistaosa
1/19;yhdeksästoistaosa
1/20;kahdeskymmenesosa
1/30;kolmaskymmenesosa
1/40;neljäskymmenesosa
1/50;viideskymmenesosa
1/60;kuudeskymmenesosa
1/70;seitsemäskymmenesosa
1/80;kahdeksaskymmenesosa
1/90;yhdeksäskymmenesosa
1/100;sadasosa
1/1 000;tuhannesosa
1/10 000;kymmenestuhannesosa
1/100 000;sadastuhannesosa
1/1 000 000;miljoonasosa
1/1 000 000 000;miljardisosa
10^-12;biljoonasosa
10^-15;tuhannesbiljoonasosa
10^-18;triljoonasosa
10^-21;tuhannestriljoonasosa
10^-24;kvadriljoonasosa
10^-27;tuhanneskvadriljoonasosa
10^-30;kvintiljoonasosa
