Finnish (Adverb);Finnish (Comparative);Finnish (Superlative);hungarian
hyvin;paremmin;parhaiten;nagyon
paljon;enemmän;eniten;sokkal
vähän;vähemmän;vähiten;kis
harvoin;harvemmin;harvimmin;ritkán
usein;useammin;useimmin;gyakran
aikaisin;aikaisemmin;aikaisimmin;korai
myöhään;myöhemmin;myöhimmin;késő
kauan;kauemmin;kauimmin;hosszú
mielellään;mieluummin;mieluiten;szívesen
ahkerasti;ahkerammin;ahkerimmin;szorgalmasan
mukavasti;mukavammin;mukavimmin;kényelmesen, kellemesen
ikävästi;ikävämmin;ikävimmin;szomorúan
selvästi;selvemmin;selvimmin;egyértelműen
rumasti;rumemmin;rumimmin;csúnyán, durván
laiskasti;laiskemmin;laiskimmin;lustán
hauskasti;hauskemmin;hauskimmin;viccesen
tyhmästi;tyhmemmin;tyhmimmin;ostobán
vilkkaasti;vilkkaammin;vilkkaimmin;élénk módon
kohteliaasti;kohteliaammin;kohteliaimmin;udvarias módon
hitaasti;hitaammin;hitaimmin;lassan
kauniisti;kauniimmin;kauneimmin;szépen
iloisesti;iloisemmin;iloisimmin;vígan
onnettomasti;onnettomammin;onnettomimmin;boldogtalanul
lämpimästi;lämpimämmin;lämpimimmin;melegen
ilkeästi;ilkeämmin;ilkeimmin;rosszindulatúan
helposti;helpommin;helpoiten / helpoimmin;könnyen
pahasti;pahemmin;pahiten / pahimmin;rosszul, súlyosan, csúnyán
huonosti;huonommin;huonoiten / huonoimmin;rosszul, gyengén
nopeasti;nopeammin;nopeimmin / nopeiten;gyorsan
runsaasti;runsaammin;runsaimmin / runsaiten;bőségben
