Finnish;English
Mitä sä opiskelet?;What do you study?, What are you studying?
Mä opiskelen...;I'm studying...
arkkitehtuuria;architecture
automaatiotekniikkaa;factory automation
biotekniikkaa;biomedical science and engineering
datatiedettä; data science 
fotoniikkaa; photonics technologies
historiaa;history
ihmisen ja tietokoneen vuorovaikutusta;human-computer interaction (HCI)
kansanterveystiedettä;public health
kauppatieteitä;business studies
kestävää kaupunkikehitystä;sustainable urban development (SUD)
kieliä;languages
kirjallisuustiedettä;literary studies 
logopediaa;logopedics, speech-language pathology
lääketiedettä;medicine
materiaalitekniikkaa;engineering materials science
mediakasvatusta;media education
ohjelmointia;programming
pelitutkimusta; game studies 
psykologiaa;psychology
sukupuolentutkimusta;gender studies
suomea;Finnish
sähkötekniikkaa;electrical engineering
teknis-luonnontieteellistä alaa;science and engineering (field)
terveystiedettä; health science
tietotekniikkaa;information technology
tuotantotaloutta;industrial engineering and management
turvallisuuden johtamista;security and safety management
valtio-oppia;political science
varhaiskasvatusta;early childhood education
yhteiskuntatieteitä;social sciences
ympäristötekniikkaa;environmental engineering
Mä opiskelen X-ohjelmassa.;I'm studying in X programme.
Mä opiskelen teknis-luonnontieteelliden-ohjelmassa.;I'm studying in science and engineering programme.
opettaja;teacher
Mä opiskelen opettajaksi.;I'm studying to become a teacher.
diplomi-insinööri;Master of Science (Technology)
Mä opiskelen diplomi-insinööriksi.;I'm studying to become a Master of Science (Technology).
lääkäri;physician, medical doctor
Mä opiskelen lääkäriksi.;I'm studying to become a doctor.
Mä opiskelen fyysikoksi.;I'm studying to become a physicist.
Mun pääaine on...;My major is...
Mä opiskelen kv-maisteriohjelmassa;I'm studying in an international master's programme
Mä opiskelen kv-kandiohjelmassa.;I'm studying in an international international bachelor programme.
kansainvälinen (kv);international
Mä olen vaihto-opiskelija.;I'm an exchange student.
Mä olen tutkinto-opiskelija.;I'm a degree student.
Mä olen jatko-opiskelija.;I'm a PhD/doctoral student.
Mä olen töissä yliopistolla.;I work at the university., I'm working at the university.
