Finnish;English;hungarian
hotelliemäntä;hotel hostess;szálloda háziasszonya
hyttisiivooja;cabin cleaning lady;kabin tisztító
junamatkustaja;train traveler;vonat utas
junatarjoilija;train waiter;vonatpincér
kapteeni;captain;kapitány
laivamatkustaja;sea traveler;hajó utas
lentoemäntä;stewardess;légiutas kísérő
lentomatkustaja;air traveler;légi utas
matkailuvirkailija;travel clerk;turisztikai tiszt
matkaopas;travel guide;útmutató
turisti;tourist;turista
vastaanottovirkailija;receptionist;recepciós
Finnish;English;finn
aurinkokansi;sun deck;napozóterasz
autokansi;car deck;autóburkolat
autolautta;car ferry;autós komp
hytti;cabin;kabin
hätäkutsu;Mayday;vészhívás
kansi;deck;borító
kansituoli;deck chair;nyugágy
laituri;pier, dock, platform, track;móló
laiva;ship;hajó (nagy)
laivaannousu;embarkment;beszállás
laivalippu;boat ticket;hajójegy
matkustaa;to travel;utazás
matkustaja;passenger, traveler;utas
merisairas;seasick;tengeribeteg
miehistö;crew;legénység
myrsky;storm;vihar
nousta laivaan;to embark;hajóra szállni
nousta maihin;to go ashore;föld
pelastusvene;life boat;mentőcsónak
paketti;package;csomag
pelastusliivi;life jacket;mentőmellény
poistua laivasta;to disembark;szálljon le a hajóról
purjehtia;to sail;vitorla
risteily;cruise;hajókázás
risteilyalus;cruise ship;tengerjáró hajó
reitti;route;útvonal
satama;port, harbor;kikötő
terminaali;terminal;terminál
upota;to sink;mosogató
vene;boat;hajó (kicsi)
bussipysäkki;bus stop;buszmegálló
ilmastointi;air conditioning;légkondíciónálás
kaksikerroksinen bussi;double decker;emeletes busz
linja-auto;bus;busz
linja-autoasema;bus station;buszmegállomás
maksu;fare;fizetés
matkatavaratila;baggage compartment;csomagtér
huippunopea juna;high speed train;szupergyors vonat
ikkunapaikka;seat next to the window;ablak melletti ülés
istumapaikka;seat;ülés
rautatieasema, juna-asema;train station;vasútállomás, vasútállomás
junalippu;train ticket;vonatjegy
kahvilavaunu;buffet car;kávézó kocsi
käytävä;aisle;folyosó
käytäväpaikka;aisle seat;folyosó helye
lähtö;departure;indulás
meno-paluulippu;return ticket;Egy menettérti jegyet kérek
paikallisjuna;local train;helyi vonat
pikajuna;express train;Expressz
ravintolavaunu;restaurant car;éttermi kocsi
saapuminen;arrival;érkezés
vaunu;carriage;szállítás
yhteys;connection;kapcsolatba lépni
Atlantin ylilento;transatlantic flight;Atlanti-óceán átkelés
henkilöllisyystodistus;identity card;azonosítás
istuinvyö;safety belt;biztonsági öv
kotimaanlento;domestic flight;belföldi repülőjárat
käsimatkatavara;hand luggage;kézipoggyász
laajarunkoinen kone;jumbo jet;széles testű gép
lennonjohto;air traffic control;légiforgalmi irányítás
lento;flight;repülési
lentoaika;flight time;repülési idő
lentoasema;airport;Repülőtér
lentokenttä;airfield;repülőtér
lentokonekaappaus;aircraft hijacking;repülőgép-eltérítés
lentolippu;plane ticket;repülőjegy
lentopahoinvointi;air-sickness;repülési betegség
lentopelko;fear of flying;a repüléstől való félelem
lentoterminaali;air terminal;repülési terminál
lentoyhtiö;airline;hordozó
lähtöselvitys;check-in;becsekkolás
matkatavarat;carry-on luggage;poggyász
matkustaa ulkomaille;to go abroad;külföldre utazni
metallinpaljastin;metal detector;fémdetektor
odotushalli;departure lounge;váróterem
olla ulkomailla;to be abroad;külföldön lenni
pakkolasku;emergency landing;kényszerleszállás
paluulento;return flight;retúr repülőjárat
passi;passport;útlevél
passintarkastus;passport control;útlevél-ellenőrzés
peruutusmaksu;cancellation fee;lemondási díj
poistumistiet;safety exits;kivezető útvonalak
portti;gate;Kikötő
raja;border;határ
reittilento;scheduled flight;menetrendszerű légijárat
suihkukone;jet plane;vadászgép
tarkastuspiste;checkpoint;ellenőrző pont
charter-lento, tilauskone, tilauslento;charter flight;charter járat, charter repülő, charter járat
tullata;to declare;kijelent
tulli;customs;vám
tullivirkaijlija;customs officer;Vámos
turvavyö;seatbelt;biztonsági öv repülőn
ulkomaanlento;international flight;nemzetközi járat
viisumi;visa;Vízum
