Finnish;English;Finnish (Harrastan);hungarian
uinti;swimming;(Harrastan) uintia. (Harrastan) uimista.;úszás
kilpauinti;competitive swimming;(Harrastan) kilpauintia.;versenyúszás
avantouinti;ice swimming;(Harrastan) avantouintia.;Jégúszás
taitouinti;synchronized swimming;(Harrastan) taitouintia.;ügyességi úszás
sukellus;diving;(Harrastan) sukellusta. (Harrastan) sukeltamista.;búvárkodás
snorklaus;snorkeling;(Harrastan) snorklausta. (Harrastan) snorklaamista.;Búvárkodás
räpyläuinti;fin swimming;(Harrastan) räpyläuintia. (Harrastan) sukeltamista;uszonyos úszás
vesipallo;water polo;(Harrastan) vesipalloa.;Vízilabda
surffaus;surfing;(Harrastan) surffausta. (Harrastan) surffaamista.;szörfözés
purjelautailu;windsurfing;(Harrastan) purjelautailua.;széllovaglás
veneily;boating;(Harrastan) veneilyä. (Harrastan) veneilemistä.;csónakázás
melonta;kayaking, canoeing;(Harrastan) melontaa. (Harrastan) melomista.;kenuzás
purjehdus;sailing;(Harrastan) purjehdusta. (Harrastan) purjehtimista.;vitorlázás
soutu;rowing;(Harrastan) soutua. (Harrastan) soutamista.;evezés
kilpaveneily;boat racing;(Harrastan) kilpaveneilyä.;versenyhajózás
koskenlasku;rafting;(Harrastan) koskenlaskua.;vadvizi evezés
vesihiihto;waterskiing;(Harrastan) vesihiihtoa.;vizisíelés
vesijuoksu;aqua jogging;(Harrastan) vesijuoksua.;vízfutás
hiihto;skiing;(Harrastan) hiihtoa. (Harrastan) hiihtämistä;síelés
ampumahiihto;biathlon;(Harrastan) ampumahiihtoa.;biatlon
alppihiihto;alpine skiing;(Harrastan) alppihiihtoa.;alpesi sízés
maastohiihto;cross-country skiing;(Harrastan) maastohiihtoa.;sífutás
mäkihyppy;ski jumping;(Harrastan) mäkihyppyä.;Síugrás
lumilautailu;snowboarding;(Harrastan) lumilautailua.;snowboardozás
rattikelkkailu;bobsled, bobsleigh;(Harrastan) rattikelkkailua.;szánkó
luistelu;ice skating;(Harrastan) luistelua. (Harrastan) luistelemista.;korcsolyázás
taitoluistelu;figure-skating;(Harrastan) taitoluistelua.;műkorcsolya
pikaluistelu;speed skating;(Harrastan) pikaluistelua.;gyorskorcsolya
curling;curling;(Harrastan) curlingia.;curling
jääpallo;bandy;(Harrastan) jääpalloa. (Harrastan) jääpalloilua.;görbe
jääkiekko;ice-hockey;(Harrastan) jääkiekkoa.;jéghoki
jäätanssi;ice dancing;(Harrastan) jäätanssia.;jégtánc
kelkkailu;bob sleighing;(Harrastan) kelkkailua.;Szánkózás
laskettelu;downhill skiing;(Harrastan) laskettelua.;lesiklás
pujottelu;slalom skiing;(Harrastan) pujottelua.;szlalom
golf;golf;(Harrastan) golfia.;golf
jalkapallo;soccer;(Harrastan) jalkapalloa.;futball
tennis;tennis;(Harrastan) tennistä.;tenisz
koripallo;basketball;(Harrastan) koripalloa.;kosárlabda
käsipallo;handball;(Harrastan) käsipalloa.;csapat kézilabda
pesäpallo;Finnish baseball;(Harrastan) pesäpalloa.;Finn baseball
baseball;baseball;(Harrastan) baseballia.;baseball
lentopallo;volleyball;(Harrastan) lentopalloa.;röplabda
rantalentopallo;beach volley;(Harrastan) rantalentopalloa.;strandröplabda
salibandy / sähly;floorball;(Harrastan) salibandyä. (Harrastan) sählyä.;floorball / sähli
sulkapallo;badminton;(Harrastan) sulkapalloa.;tollaslabda
pöytätennis, pingis;table tennis;(Harrastan) pöytätennistä. (Harrastan) pingistä.;asztalitenisz, pingpong
biljardi;billiards;(Harrastan) biljardia.;biliárd
petankki;petanque;(Harrastan) petankkia.;petanque
keilailu, keilaus;ten-pin bowling;(Harrastan) keilailua. (Harrastan) keilausta.;teke, teke
seinäpallo, squash, kössi;squash;(Harrastan) seinäpalloa. (Harrastan) squashia. (Harrastan) kössiä.;fallabda
kroketti;croquet;(Harrastan) krokettia.;krokett
kriketti;cricket;(Harrastan) krikettiä.;krikett
haavipallo;lacrosse;(Harrastan) haavipalloa.;lacrosse
rugby;rugby;(Harrastan) rugbya.;rögbi
amerikkalainen jalkapallo;American football;(Harrastan) amerikkalaista jalkapalloa.;amerikai foci
maahockey;field hockey;(Harrastan) maahockeyta.;jégkorong
jongleeraus;juggling;(Harrastan) jongleerausta.;zsonglőrködés
juoksu;running;(Harrastan) juoksua. (Harrastan) juoksemista.;futás
hölkkäys;Jogging;(Harrastan) hölkkäystä. (Harrastan) hölkkäämistä.;Kocogás
lenkkeily;jogging;(Harrastan) lenkkeilyä.;kocogás
maastojuoksu;cross country running;(Harrastan) maastojuoksua.;terepfutás
kestävyysjuoksu;long-distance running;(Harrastan) kestävyysjuoksua.;állóképességi futás
pikajuoksu;sprinting;(Harrastan) pikajuoksua.;sprintel
aitajuoksu;hurdling;(Harrastan) aitajuoksua.;akadályok
estejuoksu;steeplechase;(Harrastan) estejuoksua.;akadályverseny
kävely;walking;(Harrastan) kävelyä. (Harrastan) kävelemistä.;gyaloglás
sauvakävely;Nordic walking;(Harrastan) sauvakävelyä.;vesszőjárás
maratonit;marathons;(Harrastan) maratoneja.;maratonok
triatlonit;triathlons;(Harrastan) triatloneja.;triatlonok
tanssi;dance;(Harrastan) tanssia. (Harrastan) tanssimista.;tánc
paritanssi;partner dance;(Harrastan) paritanssia.;páros tánc
kilpatanssi;competitive dance;(Harrastan) kilpatanssia.;versenytánc
nykytanssi;contemporary dance;(Harrastan) nykytanssia.;Kortárs tánc
moderni tanssi;modern dance;(Harrastan) modernia tanssia. (Harrastan) modernia.;modern tánc
baletti;ballet;(Harrastan) balettia.;balett
lavatanssi;stage dance;(Harrastan) lavatanssia.;színpadi tánc
valssi;waltz;(Harrastan) valssia.;tekercs
tango;tango;(Harrastan) tangoa.;tangó
sambatanssi;samba dance;(Harrastan) sambatanssia. (Harrastan) sambaa.;szamba tánc
salsa-tanssi;salsa dance;(Harrastan) salsa-tanssia.;salsa tánc
flamenco;flamenco;(Harrastan) flamencoa.;flamenco
jazztanssi;jazz dance;(Harrastan) jazztanssia.;Jazz tánc
kansantanssi;folk dance;(Harrastan) kansantanssia.;népi tánc
steppi;tap dance;(Harrastan) steppiä.;sztepptánc
rivitanssi;line dance;(Harrastan) rivitanssia.;vonaltánc
showtanssi;show dance;(Harrastan) showtanssia.;show tánc
hiphop-tanssi;hip-hop dance;(Harrastan) hiphop-tanssia. (Harrastan) hiphopia.;hip hop tánc
break dance;break dance;(Harrastan) break dancea.;Break tánc
street-tanssi;street dance;(Harrastan) street-tanssia.;utcai tánc
zumba;zumba;(Harrastan) zumbaa.;Zumba
tankotanssi;dole dance;(Harrastan) tankotanssia.;rúdtánc
vatsatanssi;belly dance;(Harrastan) vatsatanssia.;hastánc
itämainen tanssi;Oriental dance;(Harrastan) itämaista tanssia.;Keleti tánc
intialainen tanssi;Indian dance;(Harrastan) intialaista tanssia.;indiai tánc
irlantilainen tanssi;Irish dance;(Harrastan) irlantilaista tanssia.;ír tánc
cheerleading;cheerleading;(Harrastan) cheerleadingia.;pompomlány
