Finnish;english
lentokone;aircraft
juna;train
laiva;ship
auto;car
ratikka (raitiovaunu);tram
bussi;bus
pyörä;bycicle
taksi;taxi
Menen yliopistolle;I'm going to university
kävellen / jalkaisin;walking / on foot
pyörällä;by bike
autolla;by road
bussilla;by bus
ratikalla;by tram
taksilla;by taxi
Mihin sinä tavallisesti menet / matkustat...;Where do you usually go / travel...
Missä sinä tavallisesti käyt...;Where do you usually go...
matkalippu;ticket
aikataulu;timetable
reitti;route
pysäkki;stop
opiskelija-alennus;student discount
tarjous;offer
lähtöpaikka;place of departure
määränpää;destination
lähtöpäivä;day of departure
lähtöaika;time of departure
saapumisaika;arrival time
paluupäivä;day of return
matkustaja;passenger
matkatavarat;luggage
kampanjakoodi;campaign code
lähtöselvitys;check in
matkavakuutus;travel insurance
hakea;to search
katsoa;to look
tarkastaa;to check
varata;to book
ostaa;to buy
tilata;to order
peruuttaa / perua;to cancel
vaihtaa;to (ex)change
loma;holidays
